Year,Quarter,State,Region,Segment,Vehicle_Class,Manufacturer,Fuel_Type,Units_Sold,Avg_Price_INR
FY2024,Q1,Tripura,Northeast,Passenger Car,Hatchback,Hyundai,Petrol,1971.0,1018418.0
FY2019,Q1,Punjab,North,Commercial Vehicle,Bus,Tata Motors,Diesel,6598.0,2283255.0
FY2019,Q3,Manipur,Northeast,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,19.0,208641.0
FY2020,Q2,Uttarakhand,North,Commercial Vehicle,Bus,Force Motors,Diesel,2034.0,1161724.0
FY2023,Q4,Madhya Pradesh,Central,Commercial Vehicle,LCV,Tata Motors,Diesel,11942.0,1319720.0
FY2022,Q1,Jharkhand,East,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,640.0,346778.0
FY2019,Q1,Madhya Pradesh,Central,Commercial Vehicle,MHCV,Eicher Motors,Diesel,11058.0,1993072.0
FY2023,Q3,Andhra Pradesh,South,Commercial Vehicle,Bus,Mahindra,Diesel,13156.0,1301953.0
FY2021,Q1,Chhattisgarh,Central,Two-Wheeler,Motorcycle,Bajaj Auto,Petrol,50473.0,56858.0
FY2022,Q1,Odisha,East,Passenger Car,SUV,Maruti Suzuki,Petrol,12837.0,1327124.0
FY2024,Q1,Jammu & Kashmir,North,Two-Wheeler,Motorcycle,Hero MotoCorp,Petrol,20422.0,48406.0
FY2020,Q4,Uttarakhand,North,Electric Vehicle,E-Car,Ola Electric,Electric,362.0,140592.0
FY2021,Q1,Odisha,East,Commercial Vehicle,MHCV,Ashok Leyland,Diesel,2944.0,1690890.0
FY2023,Q1,Odisha,East,Electric Vehicle,E-Car,Ola Electric,Electric,2954.0,256685.0
FY2019,Q2,Telangana,South,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,1000.0,131899.0
FY2022,Q1,Bihar,East,Two-Wheeler,Scooter,Hero MotoCorp,Electric,103102.0,80488.0
FY2023,Q1,Punjab,North,Electric Vehicle,E-Three-Wheeler,TVS Motor,Electric,4555.0,262347.0
FY2021,Q3,Jharkhand,East,Passenger Car,SUV,Maruti Suzuki,Diesel,8627.0,847504.0
FY2023,Q3,Himachal Pradesh,North,Commercial Vehicle,Three-Wheeler Goods,Mahindra,Diesel,2169.0,1659935.0
FY2022,Q4,Tamil Nadu,South,Passenger Car,Sedan,Others,CNG,68591.0,1108848.0
FY2021,Q4,Meghalaya,Northeast,Passenger Car,MUV,Hyundai,Petrol,1254.0,1118491.0
FY2021,Q1,Kerala,South,Passenger Car,SUV,Hyundai,Diesel,27182.0,806568.0
FY2024,Q1,Maharashtra,West,Electric Vehicle,E-Two-Wheeler,Ather Energy,Electric,42658.0,291148.0
FY2021,Q3,Chhattisgarh,Central,Electric Vehicle,E-Two-Wheeler,Ather Energy,Electric,807.0,303277.0
FY2021,Q4,Himachal Pradesh,North,Passenger Car,Hatchback,Hyundai,Petrol,4866.0,1525592.0
FY2020,Q4,West Bengal,East,Electric Vehicle,E-Two-Wheeler,Bajaj Auto,Electric,1348.0,334213.0
FY2024,Q4,Goa,West,Commercial Vehicle,Three-Wheeler Goods,Eicher Motors,Diesel,1054.0,2231465.0
FY2024,Q2,Chhattisgarh,Central,Commercial Vehicle,Bus,Ashok Leyland,CNG,3740.0,1090817.0
FY2023,Q4,Madhya Pradesh,Central,Two-Wheeler,Motorcycle,Hero MotoCorp,Petrol,245611.0,80881.0
FY2021,Q4,Assam,Northeast,Commercial Vehicle,LCV,Mahindra,CNG,1248.0,1616176.0
FY2024,Q1,Tamil Nadu,South,Passenger Car,MUV,Others,Diesel,,620408.0
FY2019,Q1,Tamil Nadu,South,Two-Wheeler,Motorcycle,Others,Electric,361527.0,56658.0
FY2020,Q1,Jharkhand,East,Passenger Car,SUV,Tata Motors,Petrol,5966.0,1313940.0
FY2022,Q3,Himachal Pradesh,North,Electric Vehicle,E-Two-Wheeler,Others,Electric,854.0,371916.0
FY2021,Q3,Meghalaya,Northeast,Electric Vehicle,E-Two-Wheeler,Ola Electric,Electric,80.0,237571.0
FY2019,Q2,Telangana,South,Commercial Vehicle,Three-Wheeler Goods,Ashok Leyland,CNG,9151.0,1443508.0
FY2021,Q3,Jharkhand,East,Commercial Vehicle,Bus,Mahindra,Diesel,2082.0,1404394.0
FY2024,Q1,Odisha,East,Passenger Car,Sedan,Kia,Electric,16422.0,677288.0
FY2020,Q1,Kerala,South,Two-Wheeler,Motorcycle,Hero MotoCorp,Petrol,119427.0,74700.0
FY2021,Q3,West Bengal,East,Passenger Car,Hatchback,Maruti Suzuki,CNG,34976.0,1196028.0
FY2024,Q3,Gujarat,West,Electric Vehicle,E-Car,Tata Motors,Electric,41460.0,203828.0
FY2024,Q3,Tamil Nadu,South,Two-Wheeler,Motorcycle,Hero MotoCorp,Petrol,463537.0,83384.0
FY2022,Q3,Bihar,East,Two-Wheeler,Motorcycle,Bajaj Auto,Petrol,151651.0,46882.0
FY2021,Q2,Rajasthan,North,Commercial Vehicle,LCV,Tata Motors,Diesel,9232.0,1582697.0
FY2019,Q4,Gujarat,West,Passenger Car,MUV,Mahindra,Petrol,60677.0,1091760.0
FY2023,Q3,Goa,West,Commercial Vehicle,MHCV,Mahindra,Electric,1317.0,1546676.0
FY2023,Q2,Goa,West,Two-Wheeler,Scooter,Hero MotoCorp,Petrol,20201.0,67793.0
FY2023,Q2,Delhi,North,Commercial Vehicle,MHCV,Tata Motors,Diesel,8551.0,1385891.0
FY2022,Q1,Madhya Pradesh,Central,Two-Wheeler,Scooter,Hero MotoCorp,Petrol,183723.0,46155.0
FY2019,Q1,Bihar,East,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,180.0,167757.0
FY2021,Q3,Himachal Pradesh,North,Two-Wheeler,Motorcycle,Bajaj Auto,Petrol,31649.0,70576.0
FY2020,Q1,Bihar,East,Passenger Car,Van,Maruti Suzuki,Petrol,12303.0,1403930.0
FY2019,Q3,Kerala,South,Commercial Vehicle,LCV,Ashok Leyland,Diesel,7895.0,1189986.0
FY2020,Q2,Andhra Pradesh,South,Electric Vehicle,E-Bus,Ather Energy,Electric,1927.0,346221.0
FY2020,Q1,Maharashtra,West,Passenger Car,SUV,Maruti Suzuki,Petrol,83052.0,1561654.0
FY2022,Q3,Madhya Pradesh,Central,Commercial Vehicle,MHCV,Ashok Leyland,Diesel,10242.0,1393978.0
FY2020,Q1,Rajasthan,North,Electric Vehicle,E-Two-Wheeler,Others,Electric,1215.0,354917.0
FY2020,Q4,Meghalaya,Northeast,Two-Wheeler,Motorcycle,Royal Enfield,Electric,7955.0,61991.0
FY2024,Q4,Madhya Pradesh,Central,Passenger Car,SUV,Hyundai,Petrol,50331.0,320455.0
FY2019,Q2,Andhra Pradesh,South,Passenger Car,SUV,Maruti Suzuki,Electric,36009.0,1188401.0
FY2023,Q1,Maharashtra,West,Two-Wheeler,Motorcycle,Honda Motorcycle,Petrol,321023.0,66954.0
FY2023,Q3,Bihar,East,Passenger Car,SUV,Kia,Diesel,22749.0,1482394.0
FY2019,Q4,Uttar Pradesh,North,Two-Wheeler,Scooter,Hero MotoCorp,Petrol,601884.0,80437.0
FY2023,Q4,Andhra Pradesh,South,Passenger Car,SUV,Hyundai,Petrol,44524.0,1184735.0
FY2024,Q3,Gujarat,West,Two-Wheeler,Motorcycle,Hero MotoCorp,Petrol,394662.0,81636.0
FY2021,Q2,Bihar,East,Two-Wheeler,Scooter,Hero MotoCorp,Petrol,121040.0,59210.0
FY2021,Q3,Telangana,South,Commercial Vehicle,LCV,Tata Motors,Diesel,7160.0,1146905.0
FY2021,Q3,Delhi,North,Two-Wheeler,Motorcycle,Hero MotoCorp,Petrol,177479.0,68238.0
FY2020,Q1,Manipur,Northeast,Passenger Car,Hatchback,Tata Motors,Petrol,619.0,1133702.0
FY2020,Q1,Nagaland,Northeast,Passenger Car,MUV,Hyundai,Petrol,653.0,621561.0
FY2022,Q3,Meghalaya,Northeast,Two-Wheeler,Scooter,Royal Enfield,Petrol,8772.0,62612.0
FY2023,Q1,Meghalaya,Northeast,Two-Wheeler,Scooter,Bajaj Auto,Petrol,7370.0,69844.0
FY2020,Q3,Chhattisgarh,Central,Passenger Car,SUV,Hyundai,Diesel,9385.0,1167263.0
FY2021,Q4,Goa,West,Passenger Car,SUV,Toyota,Diesel,5390.0,1058146.0
FY2020,Q4,Odisha,East,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,607.0,213786.0
FY2024,Q2,Kerala,South,Electric Vehicle,E-Three-Wheeler,Bajaj Auto,Electric,20579.0,246782.0
FY2024,Q4,Delhi,North,Two-Wheeler,Motorcycle,TVS Motor,Petrol,147400.0,76197.0
FY2022,Q2,Andhra Pradesh,South,Electric Vehicle,E-Two-Wheeler,Bajaj Auto,Electric,5956.0,241558.0
FY2022,Q4,Nagaland,Northeast,Electric Vehicle,E-Bus,Others,Electric,111.0,174537.0
FY2022,Q1,Andhra Pradesh,South,Two-Wheeler,Scooter,Hero MotoCorp,Petrol,163470.0,74659.0
FY2023,Q1,Himachal Pradesh,North,Electric Vehicle,E-Two-Wheeler,Bajaj Auto,Electric,1088.0,276912.0
FY2021,Q4,Madhya Pradesh,Central,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,1607.0,
FY2024,Q3,Himachal Pradesh,North,Passenger Car,MUV,Tata Motors,Petrol,9341.0,1207009.0
FY2021,Q2,Nagaland,Northeast,Two-Wheeler,Motorcycle,Hero MotoCorp,CNG,3943.0,70784.0
FY2021,Q3,Madhya Pradesh,Central,Electric Vehicle,E-Car,Ather Energy,Electric,2148.0,353818.0
FY2020,Q1,Kerala,South,Commercial Vehicle,LCV,Mahindra,Diesel,6048.0,1626378.0
FY2023,Q3,Tripura,Northeast,Commercial Vehicle,LCV,Ashok Leyland,Diesel,772.0,1462774.0
FY2022,Q4,Tamil Nadu,South,Commercial Vehicle,LCV,Ashok Leyland,Diesel,13798.0,1717664.0
FY2019,Q1,Uttarakhand,North,Two-Wheeler,Motorcycle,Honda Motorcycle,Petrol,49123.0,66566.0
FY2024,Q2,Manipur,Northeast,Two-Wheeler,Scooter,Bajaj Auto,Electric,8927.0,59356.0
FY2024,Q3,Sikkim,Northeast,Two-Wheeler,Motorcycle,Hero MotoCorp,Petrol,6326.0,83550.0
FY2024,Q1,Uttarakhand,North,Electric Vehicle,E-Three-Wheeler,TVS Motor,Electric,3317.0,54502.0
FY2022,Q1,Nagaland,Northeast,Passenger Car,Sedan,Maruti Suzuki,Petrol,650.0,303024.0
FY2021,Q2,Nagaland,Northeast,Commercial Vehicle,Bus,Tata Motors,Diesel,133.0,1936270.0
FY2024,Q4,Punjab,North,Electric Vehicle,E-Two-Wheeler,TVS Motor,Electric,9614.0,201126.0
FY2022,Q2,Haryana,North,Commercial Vehicle,LCV,Eicher Motors,CNG,6296.0,1182105.0
FY2024,Q4,Uttarakhand,North,Passenger Car,Hatchback,Tata Motors,Petrol,10179.0,1111466.0
FY2023,Q1,Uttar Pradesh,North,Commercial Vehicle,MHCV,Ashok Leyland,Diesel,24613.0,1174502.0
FY2021,Q3,Manipur,Northeast,Electric Vehicle,E-Two-Wheeler,Others,Electric,81.0,448150.0
FY2021,Q1,Odisha,East,Passenger Car,SUV,Maruti Suzuki,Petrol,10275.0,1367122.0
FY2020,Q1,Bihar,East,Electric Vehicle,E-Car,Bajaj Auto,Electric,446.0,252182.0
FY2022,Q3,Assam,Northeast,Commercial Vehicle,MHCV,Force Motors,Diesel,1859.0,872647.0
FY2019,Q1,Telangana,South,Passenger Car,SUV,Tata Motors,Petrol,43685.0,924208.0
FY2020,Q1,Rajasthan,North,Passenger Car,SUV,Maruti Suzuki,Petrol,37196.0,1023278.0
FY2022,Q3,Rajasthan,North,Commercial Vehicle,LCV,Mahindra,Diesel,14130.0,1407002.0
FY2021,Q2,Jharkhand,East,Commercial Vehicle,MHCV,Mahindra,Diesel,2124.0,1292522.0
FY2020,Q2,Meghalaya,Northeast,Commercial Vehicle,LCV,Tata Motors,Diesel,338.0,1022024.0
FY2020,Q4,Tripura,Northeast,Two-Wheeler,Scooter,TVS Motor,Petrol,13021.0,74130.0
FY2024,Q2,Punjab,North,Two-Wheeler,Scooter,Honda Motorcycle,Electric,104522.0,107549.0
FY2022,Q4,Sikkim,Northeast,Electric Vehicle,E-Car,Tata Motors,Electric,96.0,268987.0
FY2019,Q2,West Bengal,East,Commercial Vehicle,Bus,Tata Motors,Diesel,9570.0,881928.0
FY2021,Q3,Tripura,Northeast,Two-Wheeler,Scooter,Hero MotoCorp,Petrol,14696.0,94311.0
FY2019,Q1,Himachal Pradesh,North,Electric Vehicle,E-Two-Wheeler,Ola Electric,Electric,75.0,238520.0
FY2023,Q1,Manipur,Northeast,Commercial Vehicle,MHCV,Ashok Leyland,Diesel,463.0,1198310.0
FY2020,Q2,Jammu & Kashmir,North,Passenger Car,Hatchback,Hyundai,Petrol,3393.0,797153.0
FY2022,Q4,Gujarat,West,Passenger Car,SUV,Others,Electric,58795.0,668888.0
FY2023,Q3,West Bengal,East,Passenger Car,Hatchback,Maruti Suzuki,Petrol,51384.0,559828.0
FY2022,Q1,Telangana,South,Two-Wheeler,Moped,Hero MotoCorp,Petrol,135801.0,82928.0
FY2022,Q4,Kerala,South,Passenger Car,Hatchback,Maruti Suzuki,CNG,35016.0,853850.0
FY2020,Q3,Tamil Nadu,South,Electric Vehicle,E-Two-Wheeler,Ola Electric,Electric,4819.0,118760.0
FY2024,Q4,Karnataka,South,Two-Wheeler,Motorcycle,Honda Motorcycle,Petrol,276251.0,55300.0
FY2022,Q1,Tripura,Northeast,Electric Vehicle,E-Bus,Bajaj Auto,Electric,159.0,231068.0
FY2019,Q4,Chhattisgarh,Central,Electric Vehicle,E-Two-Wheeler,Ola Electric,Electric,,356214.0
FY2022,Q2,Sikkim,Northeast,Electric Vehicle,E-Two-Wheeler,Ather Energy,Electric,88.0,146750.0
FY2023,Q1,Punjab,North,Passenger Car,Sedan,Maruti Suzuki,Petrol,27468.0,726161.0
FY2019,Q3,Uttar Pradesh,North,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,1166.0,178555.0
FY2023,Q4,Meghalaya,Northeast,Passenger Car,SUV,Maruti Suzuki,Petrol,1949.0,1256014.0
FY2020,Q1,Delhi,North,Passenger Car,SUV,Maruti Suzuki,CNG,32656.0,656792.0
FY2024,Q2,Tripura,Northeast,Passenger Car,Hatchback,Kia,Petrol,1971.0,866701.0
FY2020,Q3,Meghalaya,Northeast,Two-Wheeler,Scooter,TVS Motor,Petrol,12282.0,63737.0
FY2020,Q3,Madhya Pradesh,Central,Two-Wheeler,Motorcycle,Honda Motorcycle,Petrol,358244.0,68798.0
FY2024,Q1,Bihar,East,Commercial Vehicle,Bus,Force Motors,Electric,5868.0,692237.0
FY2021,Q2,Haryana,North,Commercial Vehicle,Bus,Eicher Motors,Diesel,5403.0,1025292.0
FY2022,Q4,Madhya Pradesh,Central,Electric Vehicle,E-Car,Tata Motors,Electric,3065.0,78146.0
FY2020,Q1,West Bengal,East,Electric Vehicle,E-Three-Wheeler,Ola Electric,Electric,1051.0,232596.0
FY2023,Q2,Odisha,East,Commercial Vehicle,MHCV,Ashok Leyland,Diesel,4186.0,1527365.0
FY2024,Q4,Meghalaya,Northeast,Two-Wheeler,Scooter,Honda Motorcycle,Petrol,8031.0,44648.0
FY2020,Q1,Chhattisgarh,Central,Two-Wheeler,Motorcycle,Bajaj Auto,Petrol,64909.0,74016.0
FY2022,Q1,Rajasthan,North,Two-Wheeler,Motorcycle,TVS Motor,Petrol,219927.0,58424.0
FY2024,Q3,Tamil Nadu,South,Commercial Vehicle,Bus,Tata Motors,Diesel,22825.0,1839507.0
FY2020,Q3,Jammu & Kashmir,North,Passenger Car,SUV,Hyundai,Petrol,4702.0,249225.0
FY2020,Q1,Meghalaya,Northeast,Commercial Vehicle,LCV,Mahindra,Diesel,358.0,1550980.0
FY2019,Q2,Gujarat,West,Commercial Vehicle,LCV,Others,CNG,18968.0,1027416.0
FY2021,Q3,Sikkim,Northeast,Two-Wheeler,Scooter,TVS Motor,Petrol,5483.0,43226.0
FY2024,Q3,Goa,West,Two-Wheeler,Motorcycle,TVS Motor,Petrol,30783.0,49500.0
FY2022,Q2,Himachal Pradesh,North,Two-Wheeler,Scooter,Royal Enfield,Petrol,19188.0,80912.0
FY2020,Q2,Andhra Pradesh,South,Commercial Vehicle,LCV,Eicher Motors,Electric,9179.0,1094120.0
FY2023,Q2,Punjab,North,Electric Vehicle,E-Three-Wheeler,Ola Electric,Electric,,319280.0
FY2019,Q2,Uttar Pradesh,North,Electric Vehicle,E-Car,Ola Electric,Electric,800.0,189433.0
FY2020,Q3,West Bengal,East,Two-Wheeler,Scooter,Hero MotoCorp,Petrol,298973.0,34216.0
FY2022,Q4,Madhya Pradesh,Central,Two-Wheeler,Moped,Hero MotoCorp,Petrol,205963.0,66260.0
FY2023,Q2,Uttarakhand,North,Two-Wheeler,Scooter,Honda Motorcycle,Petrol,38643.0,64539.0
FY2019,Q2,Maharashtra,West,Electric Vehicle,E-Car,TVS Motor,Electric,1655.0,216914.0
FY2024,Q2,Uttar Pradesh,North,Commercial Vehicle,MHCV,Ashok Leyland,Diesel,26457.0,1450861.0
FY2022,Q3,Sikkim,Northeast,Passenger Car,Sedan,Maruti Suzuki,Petrol,940.0,927749.0
FY2020,Q3,Chhattisgarh,Central,Two-Wheeler,Motorcycle,Honda Motorcycle,Petrol,84847.0,47910.0
FY2019,Q1,Andhra Pradesh,South,Electric Vehicle,E-Two-Wheeler,Ather Energy,Electric,709.0,81469.0
FY2020,Q3,Gujarat,West,Electric Vehicle,E-Three-Wheeler,Others,Electric,3631.0,165134.0
FY2024,Q1,Haryana,North,Commercial Vehicle,LCV,Eicher Motors,Diesel,9305.0,678037.0
FY2020,Q1,Uttarakhand,North,Passenger Car,MUV,Mahindra,CNG,6535.0,1513580.0
FY2023,Q2,Manipur,Northeast,Passenger Car,SUV,Others,Diesel,867.0,1765683.0
FY2023,Q3,Meghalaya,Northeast,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,282.0,173719.0
FY2022,Q2,Manipur,Northeast,Passenger Car,SUV,Mahindra,Petrol,706.0,1137295.0
FY2023,Q2,Tamil Nadu,South,Electric Vehicle,E-Two-Wheeler,Ola Electric,Electric,18254.0,123511.0
FY2023,Q2,Punjab,North,Two-Wheeler,Scooter,Royal Enfield,Petrol,100457.0,48081.0
FY2023,Q3,Himachal Pradesh,North,Passenger Car,SUV,Maruti Suzuki,Petrol,8745.0,1343596.0
FY2022,Q2,Himachal Pradesh,North,Passenger Car,Hatchback,Maruti Suzuki,Diesel,4719.0,1621340.0
FY2019,Q1,Uttarakhand,North,Passenger Car,Sedan,Maruti Suzuki,CNG,7372.0,596443.0
FY2022,Q4,Gujarat,West,Electric Vehicle,E-Two-Wheeler,Ola Electric,Electric,7526.0,138810.0
FY2022,Q1,Madhya Pradesh,Central,Passenger Car,SUV,Toyota,Petrol,33531.0,10000.0
FY2019,Q4,Uttar Pradesh,North,Passenger Car,SUV,Maruti Suzuki,Diesel,70698.0,795260.0
FY2024,Q1,Assam,Northeast,Commercial Vehicle,MHCV,Tata Motors,Electric,2248.0,906067.0
FY2023,Q4,Uttar Pradesh,North,Commercial Vehicle,LCV,Mahindra,Diesel,24006.0,1206943.0
FY2023,Q3,Meghalaya,Northeast,Passenger Car,Sedan,Maruti Suzuki,Electric,2187.0,740179.0
FY2020,Q1,Madhya Pradesh,Central,Two-Wheeler,Scooter,Hero MotoCorp,Petrol,223593.0,120419.0
FY2020,Q4,Punjab,North,Electric Vehicle,E-Car,TVS Motor,Electric,925.0,207402.0
FY2021,Q3,Maharashtra,West,Two-Wheeler,Motorcycle,Hero MotoCorp,Petrol,507376.0,89762.0
FY2022,Q1,Odisha,East,Electric Vehicle,E-Car,Tata Motors,Electric,1202.0,142604.0
FY2021,Q1,Chhattisgarh,Central,Passenger Car,Sedan,Kia,Petrol,7243.0,699758.0
FY2019,Q3,Nagaland,Northeast,Electric Vehicle,E-Two-Wheeler,Ola Electric,Electric,18.0,371242.0
FY2023,Q3,Rajasthan,North,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,11762.0,116650.0
FY2022,Q2,Gujarat,West,Commercial Vehicle,LCV,Ashok Leyland,Diesel,15660.0,1832644.0
FY2019,Q4,Delhi,North,Electric Vehicle,E-Car,TVS Motor,Electric,1235.0,210565.0
FY2019,Q4,Assam,Northeast,Commercial Vehicle,LCV,Tata Motors,Electric,1889.0,900846.0
FY2024,Q2,Manipur,Northeast,Commercial Vehicle,MHCV,Tata Motors,Electric,484.0,409581.0
FY2022,Q2,Tamil Nadu,South,Two-Wheeler,Scooter,Hero MotoCorp,Petrol,268229.0,102107.0
FY2021,Q1,Chhattisgarh,Central,Commercial Vehicle,Bus,Ashok Leyland,Diesel,2389.0,1345930.0
FY2023,Q4,Tripura,Northeast,Two-Wheeler,Moped,Hero MotoCorp,Petrol,11000.0,45455.0
FY2019,Q4,Himachal Pradesh,North,Electric Vehicle,E-Three-Wheeler,Tata Motors,Electric,87.0,109356.0
FY2024,Q3,Rajasthan,North,Passenger Car,SUV,Maruti Suzuki,Petrol,74278.0,310355.0
FY2022,Q2,Rajasthan,North,Commercial Vehicle,Three-Wheeler Goods,Others,Diesel,11923.0,1426529.0
FY2020,Q2,Jharkhand,East,Commercial Vehicle,LCV,Tata Motors,Diesel,2582.0,2191058.0
FY2020,Q4,Andhra Pradesh,South,Two-Wheeler,Motorcycle,TVS Motor,Petrol,228520.0,91160.0
FY2022,Q4,Uttarakhand,North,Passenger Car,SUV,Hyundai,Electric,8149.0,1276884.0
FY2024,Q3,Delhi,North,Commercial Vehicle,MHCV,Ashok Leyland,Diesel,9528.0,1329145.0
FY2020,Q1,Telangana,South,Two-Wheeler,Motorcycle,Honda Motorcycle,Petrol,174434.0,53361.0
FY2021,Q3,Karnataka,South,Two-Wheeler,Motorcycle,Honda Motorcycle,Petrol,316479.0,26238.0
FY2024,Q1,Odisha,East,Two-Wheeler,Motorcycle,Honda Motorcycle,Petrol,80486.0,72355.0
FY2024,Q2,Rajasthan,North,Electric Vehicle,E-Car,Tata Motors,Electric,14865.0,183782.0
FY2022,Q4,Bihar,East,Commercial Vehicle,LCV,Others,Diesel,4288.0,1635241.0
FY2021,Q4,Karnataka,South,Commercial Vehicle,MHCV,Ashok Leyland,Diesel,10053.0,1618563.0
FY2021,Q1,Goa,West,Electric Vehicle,E-Two-Wheeler,Ola Electric,Electric,466.0,122556.0
FY2021,Q2,Tripura,Northeast,Two-Wheeler,Scooter,TVS Motor,Electric,10953.0,71569.0
FY2024,Q4,Meghalaya,Northeast,Electric Vehicle,E-Two-Wheeler,Ola Electric,Electric,376.0,121338.0
FY2021,Q2,Rajasthan,North,Two-Wheeler,Scooter,Honda Motorcycle,Petrol,270721.0,84416.0
FY2022,Q1,Meghalaya,Northeast,Two-Wheeler,Scooter,Hero MotoCorp,Petrol,6387.0,62587.0
FY2019,Q2,Kerala,South,Electric Vehicle,E-Three-Wheeler,Bajaj Auto,Electric,691.0,240128.0
FY2024,Q2,Chhattisgarh,Central,Two-Wheeler,Motorcycle,Hero MotoCorp,Petrol,68505.0,65456.0
FY2024,Q4,Kerala,South,Commercial Vehicle,MHCV,Ashok Leyland,Diesel,8255.0,1967810.0
FY2019,Q1,Odisha,East,Electric Vehicle,E-Car,Ather Energy,Electric,161.0,171543.0
FY2024,Q3,Punjab,North,Two-Wheeler,Motorcycle,Bajaj Auto,Petrol,140545.0,66044.0
FY2020,Q1,Goa,West,Commercial Vehicle,LCV,Mahindra,Diesel,828.0,767370.0
FY2023,Q1,Odisha,East,Commercial Vehicle,LCV,Mahindra,Diesel,5001.0,1630539.0
FY2022,Q2,Telangana,South,Passenger Car,Sedan,Kia,Electric,42058.0,589201.0
FY2021,Q3,Madhya Pradesh,Central,Two-Wheeler,Motorcycle,Honda Motorcycle,Petrol,299095.0,89916.0
FY2022,Q3,Chhattisgarh,Central,Passenger Car,MUV,Maruti Suzuki,Diesel,10325.0,984382.0
FY2021,Q2,Manipur,Northeast,Passenger Car,SUV,Maruti Suzuki,Electric,590.0,679618.0
FY2020,Q2,Manipur,Northeast,Electric Vehicle,E-Two-Wheeler,Bajaj Auto,Electric,35.0,154423.0
FY2019,Q4,Tripura,Northeast,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,30.0,47513.0
FY2022,Q4,Karnataka,South,Two-Wheeler,Motorcycle,Honda Motorcycle,Petrol,206308.0,59542.0
FY2019,Q3,Telangana,South,Electric Vehicle,E-Car,Tata Motors,Electric,1534.0,93859.0
FY2019,Q1,Uttarakhand,North,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,122.0,234975.0
FY2023,Q3,West Bengal,East,Commercial Vehicle,MHCV,Tata Motors,CNG,11698.0,695540.0
FY2020,Q2,Jammu & Kashmir,North,Two-Wheeler,Scooter,TVS Motor,Petrol,19581.0,54674.0
FY2019,Q3,West Bengal,East,Two-Wheeler,Scooter,TVS Motor,Petrol,348824.0,67353.0
FY2023,Q4,Manipur,Northeast,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,241.0,21988.0
FY2022,Q3,Gujarat,West,Commercial Vehicle,LCV,Ashok Leyland,Diesel,17643.0,
FY2022,Q3,Jharkhand,East,Two-Wheeler,Motorcycle,Hero MotoCorp,Petrol,51234.0,74841.0
FY2019,Q3,Bihar,East,Passenger Car,MUV,Hyundai,Petrol,18664.0,465369.0
FY2019,Q3,Madhya Pradesh,Central,Commercial Vehicle,LCV,Ashok Leyland,Diesel,12319.0,775089.0
FY2021,Q2,Manipur,Northeast,Commercial Vehicle,LCV,Ashok Leyland,Diesel,264.0,1326573.0
FY2021,Q1,Madhya Pradesh,Central,Two-Wheeler,Scooter,Honda Motorcycle,Petrol,207170.0,46617.0
FY2023,Q1,Meghalaya,Northeast,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,174.0,158127.0
FY2023,Q4,Punjab,North,Electric Vehicle,E-Two-Wheeler,Ola Electric,Electric,5518.0,251840.0
FY2019,Q2,Punjab,North,Commercial Vehicle,Three-Wheeler Goods,Tata Motors,Diesel,5932.0,792596.0
FY2022,Q4,Punjab,North,Passenger Car,SUV,Maruti Suzuki,Petrol,24708.0,767395.0
FY2021,Q4,Rajasthan,North,Commercial Vehicle,LCV,Eicher Motors,Diesel,10715.0,1416071.0
FY2022,Q1,Meghalaya,Northeast,Electric Vehicle,E-Two-Wheeler,Ola Electric,Electric,78.0,250286.0
FY2023,Q3,Chhattisgarh,Central,Passenger Car,Hatchback,Maruti Suzuki,Petrol,14410.0,1300895.0
FY2024,Q3,Kerala,South,Passenger Car,SUV,Others,Electric,53976.0,928281.0
FY2020,Q2,Meghalaya,Northeast,Passenger Car,SUV,Kia,Petrol,1189.0,1492631.0
FY2019,Q1,Odisha,East,Commercial Vehicle,LCV,Ashok Leyland,Diesel,3986.0,1323047.0
FY2022,Q2,Delhi,North,Two-Wheeler,Scooter,Hero MotoCorp,Petrol,111698.0,67535.0
FY2024,Q3,Kerala,South,Electric Vehicle,E-Two-Wheeler,Ather Energy,Electric,,203022.0
FY2022,Q4,Assam,Northeast,Commercial Vehicle,MHCV,Eicher Motors,CNG,1687.0,1084928.0
FY2019,Q4,Meghalaya,Northeast,Commercial Vehicle,LCV,Mahindra,Electric,384.0,1499805.0
FY2021,Q3,Jharkhand,East,Two-Wheeler,Motorcycle,Hero MotoCorp,Electric,63725.0,52527.0
FY2024,Q2,Delhi,North,Two-Wheeler,Scooter,Bajaj Auto,Petrol,162928.0,66367.0
FY2022,Q2,Punjab,North,Commercial Vehicle,LCV,Tata Motors,Diesel,5422.0,979275.0
